"version=1"
""
"Sys category id"	"Name"
"-1"	"Outros"
"0"	"Jogos"
"1"	"Música e áudio"
"2"	"Filmes e vídeos"
"3"	"Fotos e imagens"
"4"	"Social e comunicação"
"5"	"Notícias e revistas"
"6"	"Mapas e navegação"
"7"	"Produtividade"
""
"App"	"Package"	"Category"	"User-defined"
"Conjugação"	"com.setegraus.conjugacao"	"Outros"	"0"
"Manga Master"	"com.acg.manga"	"Outros"	"0"
"Odyssey"	"com.noodlecake.altosodyssey"	"Outros"	"0"
"Color Road"	"com.bigframes.color_road"	"Outros"	"0"
"EWA"	"com.ewa.ewaapp"	"Outros"	"0"
"PAKO 2"	"com.treemengames.pako2"	"Outros"	"0"
"Smashing Four"	"com.geewa.smashingfour"	"Outros"	"0"
"Math Riddles"	"com.BlackGames.MathRiddles"	"Jogos"	"0"
"BAIKOH"	"org.duckdodo.baikoh"	"Jogos"	"0"
"Fit"	"com.ketchapp.fit"	"Jogos"	"0"
"Sushi Bar"	"com.gpp.sushibar"	"Jogos"	"0"
"Pizza"	"com.tapblaze.pizzabusiness"	"Jogos"	"0"
"a_nexo"	"br.com.nexojornal.app"	"Outros"	"0"
"Floating Timer"	"com.wmdev.floatingtimer"	"Produtividade"	"0"
"Water Reminder"	"com.water.reminder.perfect"	"Outros"	"0"
"Hydrillo"	"com.drink.water.alarm"	"Outros"	"0"
"e-Título"	"br.jus.tse.eleitoral.etitulo"	"Outros"	"0"
"Sticky Notes"	"com.symcoding.widget.stickynotes"	"Outros"	"0"
"Jesus Pizza"	"com.wabiz.delivery.pizza10pompeia"	"Outros"	"0"
"Evaluation Wheel"	"net.revolutionplatform.evaluationwheel"	"Outros"	"0"
"WebStorage"	"com.ecareme.asuswebstorage"	"Produtividade"	"0"
"TelemetryJService"	"com.qualcomm.qti.haven.telemetry.service"	"Outros"	"0"
"com.android.cts.priv.ctsshim"	"com.android.cts.priv.ctsshim"	"Outros"	"0"
"YouTube"	"com.google.android.youtube"	"Filmes e vídeos"	"0"
"AsusBoost"	"com.asus.system.api"	"Outros"	"0"
"Android Services Library"	"com.google.android.ext.services"	"Outros"	"0"
"BR Apps"	"com.asus.brapp"	"Outros"	"0"
"Armazenamento de mensagens/smartphone"	"com.android.providers.telephony"	"Outros"	"0"
"MobileManagerService"	"com.asus.mobilemanagerservice"	"Outros"	"0"
"Google"	"com.google.android.googlequicksearchbox"	"Produtividade"	"0"
"ASUS Calling Screen"	"com.asus.asusincallui"	"Outros"	"0"
"Armazenamento de agenda"	"com.android.providers.calendar"	"Outros"	"0"
"Armazenamento de mídia"	"com.android.providers.media"	"Outros"	"0"
"Clima"	"com.asus.weathertime"	"Outros"	"0"
"com.qti.service.colorservice"	"com.qti.service.colorservice"	"Outros"	"0"
"Google One Time Init"	"com.google.android.onetimeinitializer"	"Outros"	"0"
"Android Shared Library"	"com.google.android.ext.shared"	"Outros"	"0"
"Papéis de parede radiantes"	"com.amax.livewallpaper.parallaxwallpaper"	"Outros"	"0"
"com.android.wallpapercropper"	"com.android.wallpapercropper"	"Outros"	"0"
"com.quicinc.cne.CNEService.CNEServiceApp"	"com.quicinc.cne.CNEService"	"Outros"	"0"
"com.qualcomm.qti.autoregistration"	"com.qualcomm.qti.autoregistration"	"Outros"	"0"
"App Usage"	"com.a0soft.gphone.uninstaller"	"Produtividade"	"0"
"Dicas da tela inicial"	"com.android.protips"	"Outros"	"0"
"Relógio"	"com.asus.deskclock"	"Produtividade"	"0"
"SmartcardService"	"org.simalliance.openmobileapi.service"	"Outros"	"0"
"liveDemoService"	"com.asus.livedemoservice"	"Outros"	"0"
"Arquivos"	"com.android.documentsui"	"Outros"	"0"
"Armazenamento externo"	"com.android.externalstorage"	"Outros"	"0"
"com.qualcomm.uimremoteclient"	"com.qualcomm.uimremoteclient"	"Outros"	"0"
"Leitor de HTML"	"com.android.htmlviewer"	"Outros"	"0"
"Gerenciador de celular"	"com.asus.mobilemanager"	"Produtividade"	"0"
"WhatsApp"	"com.whatsapp"	"Social e comunicação"	"0"
"RCSService"	"com.qualcomm.qti.uceShimService"	"Outros"	"0"
"Companion Device Manager"	"com.android.companiondevicemanager"	"Outros"	"0"
"MmsService"	"com.android.mms.service"	"Outros"	"0"
"Splendid"	"com.asus.splendid"	"Outros"	"0"
"Gerenciador de downloads"	"com.android.providers.downloads"	"Outros"	"0"
"com.asus.shim"	"com.asus.shim"	"Outros"	"0"
"Mensagens"	"com.google.android.apps.messaging"	"Social e comunicação"	"0"
"Dicio"	"com.setegraus.dicio"	"Outros"	"0"
"Input Devices"	"com.asus.inputdevices"	"Outros"	"0"
"Capa ASUS"	"com.asus.flipcover4"	"Outros"	"0"
"Csclogtool"	"com.asus.csclogtool"	"Outros"	"0"
"com.qualcomm.qti.telephonyservice"	"com.qualcomm.qti.telephonyservice"	"Outros"	"0"
"Clube Extra"	"br.com.clubeextra"	"Outros"	"0"
"FidoCryptoService"	"com.qualcomm.qti.auth.fidocryptoservice"	"Outros"	"0"
"ConfigUpdater"	"com.google.android.configupdater"	"Outros"	"0"
"Daylio"	"net.daylio"	"Outros"	"0"
"com.qualcomm.qti.optinoverlay"	"com.qualcomm.qti.optinoverlay"	"Outros"	"0"
"TickTick"	"com.ticktick.task"	"Produtividade"	"0"
"com.qualcomm.uimremoteserver"	"com.qualcomm.uimremoteserver"	"Outros"	"0"
"Assistente de pacote"	"com.android.defcontainer"	"Outros"	"0"
"Conference URI Dialer"	"com.qti.confuridialer"	"Outros"	"0"
"Diaro"	"com.pixelcrater.Diaro"	"Produtividade"	"0"
"DriveActivator"	"com.google.android.apps.docs.oem"	"Outros"	"0"
"ASUS Instalador do pacote"	"com.asus.packageinstaller"	"Outros"	"0"
"Downloads"	"com.android.providers.downloads.ui"	"Outros"	"0"
"Game Genie"	"com.asus.gamewidget"	"Produtividade"	"0"
"Google Play Store"	"com.android.vending"	"Outros"	"0"
"PacProcessor"	"com.android.pacprocessor"	"Outros"	"0"
"Rádio FM"	"com.asus.fmradio"	"Outros"	"0"
"Fotor"	"com.everimaging.photoeffectstudio"	"Fotos e imagens"	"0"
"ZenUI Launcher"	"com.asus.launcher"	"Outros"	"0"
"Gerenciador de Arquivos"	"com.asus.filemanager"	"Produtividade"	"0"
"Instalador de certificado"	"com.android.certinstaller"	"Outros"	"0"
"Protetor Pessoal"	"com.asus.emergencyhelp"	"Outros"	"0"
"com.android.carrierconfig"	"com.android.carrierconfig"	"Outros"	"0"
"Pacote de Acessibilidade do Android"	"com.google.android.marvin.talkback"	"Produtividade"	"0"
"org.codeaurora.bluetooth"	"org.codeaurora.bluetooth"	"Outros"	"0"
"com.asus.stitchimage.service"	"com.asus.stitchimage.service"	"Outros"	"0"
"com.qti.qualcomm.datastatusnotification"	"com.qti.qualcomm.datastatusnotification"	"Outros"	"0"
"Sistema Android"	"android"	"Outros"	"0"
"com.qualcomm.qti.callfeaturessetting"	"com.qualcomm.qti.callfeaturessetting"	"Outros"	"0"
"BatterySOH_v1.0.0.5"	"com.asus.batterysoh"	"Outros"	"0"
"Wfd Service"	"com.qualcomm.wfd.service"	"Outros"	"0"
"Device Info"	"com.qti.qualcomm.deviceinfo"	"Outros"	"0"
"Device configuration"	"android.autoinstalls.config.asus.pai"	"Outros"	"0"
"Gerenciador de Tarefa"	"com.asus.taskwidget"	"Outros"	"0"
"HardwareStub Services"	"com.asus.hardwarestub"	"Outros"	"0"
"Android Easter Egg"	"com.android.egg"	"Outros"	"0"
"Host do MTP"	"com.android.mtp"	"Outros"	"0"
"Serviço Nfc"	"com.android.nfc"	"Outros"	"0"
"Toolkit do SIM"	"com.android.stk"	"Outros"	"0"
"com.android.backupconfirm"	"com.android.backupconfirm"	"Outros"	"0"
"ASUS ZenUI"	"com.asus.res.defaulttheme"	"Outros"	"0"
"Instagram"	"com.instagram.android"	"Social e comunicação"	"0"
"Itaú"	"com.itau"	"Produtividade"	"0"
"ASUS ZenTalk Community"	"com.asus.zentalk"	"Social e comunicação"	"0"
"Pinterest"	"com.pinterest"	"Social e comunicação"	"0"
"SMMI TEST v6.0.46(Device Owner only)"	"com.asus.atd.smmitest"	"Outros"	"0"
"com.qualcomm.qti.radioconfiginterface"	"com.qualcomm.qti.radioconfiginterface"	"Outros"	"0"
"org.codeaurora.ims"	"org.codeaurora.ims"	"Outros"	"0"
"Intent Filter Verification Service"	"com.android.statementservice"	"Outros"	"0"
"Gmail"	"com.google.android.gm"	"Social e comunicação"	"0"
"Duo"	"com.google.android.apps.tachyon"	"Social e comunicação"	"0"
"Marcador de página"	"com.asus.browsergenie"	"Notícias e revistas"	"0"
"FocusAppListener"	"com.asus.focusapplistener"	"Outros"	"0"
"Galeria"	"com.asus.gallery"	"Fotos e imagens"	"0"
"Assistente de configuração"	"com.google.android.setupwizard"	"Outros"	"0"
"com.qualcomm.qcrilmsgtunnel"	"com.qualcomm.qcrilmsgtunnel"	"Outros"	"0"
"Armazenamento de configurações"	"com.android.providers.settings"	"Outros"	"0"
"com.android.sharedstoragebackup"	"com.android.sharedstoragebackup"	"Outros"	"0"
"Google Play Música"	"com.google.android.music"	"Música e áudio"	"0"
"TermsAndConditionWebViewer"	"com.asus.setupwizard.suwinspireasushtmlviewer"	"Outros"	"0"
"Sp. de impressão"	"com.android.printspooler"	"Produtividade"	"0"
"99"	"com.taxis99"	"Mapas e navegação"	"0"
"Daydreams básico"	"com.android.dreams.basic"	"Outros"	"0"
"com.qualcomm.qti.qcom_accesslogkit"	"com.qualcomm.qti.qcom_accesslogkit"	"Outros"	"0"
"Dispositivos de entrada"	"com.android.inputdevices"	"Outros"	"0"
"Contatos"	"com.asus.contacts"	"Social e comunicação"	"0"
