"Start Time","End Time","Tag","Note","Tree Type","Is Success"
"Tue Sep 26 21:59:15 GMT-03:00 2017","Tue Sep 26 22:15:18 GMT-03:00 2017","Indefinido","Planted in my chrome","Cedro","False"
"Tue Sep 26 22:19:01 GMT-03:00 2017","Tue Sep 26 22:37:28 GMT-03:00 2017","Indefinido","Planted in my chrome","Arbusto","False"
"Sat Sep 30 18:17:07 GMT-03:00 2017","Sat Sep 30 18:47:07 GMT-03:00 2017","Indefinido","Planted in my chrome","Cedro","True"
"Sat Sep 30 19:01:50 GMT-03:00 2017","Sat Sep 30 19:10:09 GMT-03:00 2017","Indefinido","Planted in my chrome","Arbusto","False"
"Sun Oct 01 19:54:10 GMT-03:00 2017","Sun Oct 01 20:08:47 GMT-03:00 2017","Indefinido","","Cedro","False"
"Tue Oct 03 17:22:49 GMT-03:00 2017","Tue Oct 03 18:00:40 GMT-03:00 2017","Indefinido","","Cedro","True"
"Fri Oct 06 08:54:10 GMT-03:00 2017","Fri Oct 06 09:06:35 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Sat Oct 07 18:28:38 GMT-03:00 2017","Sat Oct 07 18:54:50 GMT-03:00 2017","Indefinido","","Cedro","False"
"Sat Oct 07 23:54:27 GMT-03:00 2017","Sun Oct 08 00:12:14 GMT-03:00 2017","Indefinido","","Cedro","False"
"Sun Oct 08 14:53:49 GMT-03:00 2017","Sun Oct 08 15:23:49 GMT-03:00 2017","Indefinido","Planted in my chrome","Cedro","True"
"Sun Oct 08 19:41:22 GMT-03:00 2017","Sun Oct 08 19:46:16 GMT-03:00 2017","Indefinido","","Cedro","False"
"Sun Oct 08 20:00:41 GMT-03:00 2017","Sun Oct 08 20:17:50 GMT-03:00 2017","Indefinido","","Cedro","False"
"Mon Oct 09 08:34:18 GMT-03:00 2017","Mon Oct 09 08:45:24 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Mon Oct 09 11:39:55 GMT-03:00 2017","Mon Oct 09 11:57:00 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Tue Oct 10 08:42:41 GMT-03:00 2017","Tue Oct 10 08:49:06 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Wed Oct 11 08:36:09 GMT-03:00 2017","Wed Oct 11 08:40:23 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Sun Oct 15 12:14:42 GMT-03:00 2017","Sun Oct 15 13:04:42 GMT-03:00 2017","Indefinido","Planted in my chrome","Cedro","True"
"Sun Oct 15 15:54:55 GMT-03:00 2017","Sun Oct 15 16:21:20 GMT-03:00 2017","Indefinido","Planted in my chrome","Cedro","False"
"Sun Oct 15 18:10:25 GMT-03:00 2017","Sun Oct 15 18:40:25 GMT-03:00 2017","Indefinido","Planted in my chrome","Cedro","True"
"Mon Oct 16 07:33:19 GMT-03:00 2017","Mon Oct 16 07:45:06 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Mon Oct 16 22:52:24 GMT-03:00 2017","Mon Oct 16 23:12:25 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Tue Oct 17 07:33:53 GMT-03:00 2017","Tue Oct 17 07:47:58 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Tue Oct 17 17:01:04 GMT-03:00 2017","Tue Oct 17 17:23:26 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Thu Oct 19 13:04:30 GMT-03:00 2017","Thu Oct 19 13:19:45 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Thu Oct 19 17:50:38 GMT-03:00 2017","Thu Oct 19 18:05:54 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Fri Oct 20 12:36:53 GMT-03:00 2017","Fri Oct 20 12:48:24 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Sat Oct 21 15:48:43 GMT-03:00 2017","Sat Oct 21 16:08:06 GMT-03:00 2017","Indefinido","","Cedro","False"
"Sat Oct 21 18:07:54 GMT-03:00 2017","Sat Oct 21 18:51:36 GMT-03:00 2017","Indefinido","","Cedro","True"
"Sat Oct 21 18:07:57 GMT-03:00 2017","Sat Oct 21 18:47:57 GMT-03:00 2017","Indefinido","Planted in my chrome","Cedro","True"
"Sat Oct 21 22:12:36 GMT-03:00 2017","Sat Oct 21 22:36:30 GMT-03:00 2017","Indefinido","Planted in my chrome","Cedro","False"
"Sat Oct 21 22:17:51 GMT-03:00 2017","Sat Oct 21 22:36:33 GMT-03:00 2017","Indefinido","","Cedro","False"
"Sun Oct 22 15:45:41 GMT-03:00 2017","Sun Oct 22 15:45:44 GMT-03:00 2017","Indefinido","Planted in my chrome","Cedro","False"
"Sun Oct 22 19:32:38 GMT-03:00 2017","Sun Oct 22 20:02:57 GMT-03:00 2017","Indefinido","","Cedro","True"
"Sun Oct 29 16:32:01 GMT-03:00 2017","Sun Oct 29 16:32:17 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Sun Oct 29 16:35:03 GMT-03:00 2017","Sun Oct 29 16:52:47 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Mon Oct 30 17:15:30 GMT-03:00 2017","Mon Oct 30 17:30:39 GMT-03:00 2017","Indefinido","","Cedro","False"
"Tue Oct 31 07:34:34 GMT-03:00 2017","Tue Oct 31 07:50:43 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Wed Nov 01 07:29:09 GMT-03:00 2017","Wed Nov 01 07:44:21 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Sat Nov 04 13:05:21 GMT-03:00 2017","Sat Nov 04 13:47:25 GMT-03:00 2017","Indefinido","","Cedro","False"
"Sun Nov 05 16:53:06 GMT-03:00 2017","Sun Nov 05 17:25:31 GMT-03:00 2017","Indefinido","","Cedro","True"
"Sun Nov 05 17:26:57 GMT-03:00 2017","Sun Nov 05 17:57:13 GMT-03:00 2017","Indefinido","","Cedro","True"
"Sun Nov 05 19:03:49 GMT-03:00 2017","Sun Nov 05 19:53:49 GMT-03:00 2017","Indefinido","Planted in my chrome","Cedro","True"
"Mon Nov 06 12:53:01 GMT-03:00 2017","Mon Nov 06 13:07:39 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Mon Nov 06 18:35:49 GMT-03:00 2017","Mon Nov 06 18:50:00 GMT-03:00 2017","Indefinido","","Cedro","False"
"Mon Nov 06 19:30:35 GMT-03:00 2017","Mon Nov 06 19:49:43 GMT-03:00 2017","Indefinido","","Cedro","False"
"Thu Nov 09 07:36:16 GMT-03:00 2017","Thu Nov 09 07:52:48 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Thu Nov 09 13:42:01 GMT-03:00 2017","Thu Nov 09 14:04:20 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Thu Nov 09 17:39:20 GMT-03:00 2017","Thu Nov 09 18:03:53 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Sun Nov 12 00:02:13 GMT-03:00 2017","Sun Nov 12 00:52:13 GMT-03:00 2017","Indefinido","Planted in my chrome","Cedro","True"
"Mon Nov 13 13:02:24 GMT-03:00 2017","Mon Nov 13 13:13:16 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Tue Nov 14 07:35:34 GMT-03:00 2017","Tue Nov 14 07:52:15 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Tue Nov 14 17:28:16 GMT-03:00 2017","Tue Nov 14 17:32:49 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Wed Nov 15 13:36:26 GMT-03:00 2017","Wed Nov 15 14:08:05 GMT-03:00 2017","Indefinido","","Cedro","False"
"Wed Nov 15 15:37:40 GMT-03:00 2017","Wed Nov 15 16:10:55 GMT-03:00 2017","Indefinido","","Cedro","False"
"Thu Nov 16 12:33:12 GMT-03:00 2017","Thu Nov 16 12:35:50 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Mon Nov 27 16:47:01 GMT-03:00 2017","Mon Nov 27 16:58:36 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Wed Nov 29 20:15:16 GMT-03:00 2017","Wed Nov 29 20:30:28 GMT-03:00 2017","Indefinido","","Cedro","False"
"Thu Nov 30 20:01:53 GMT-03:00 2017","Thu Nov 30 20:13:57 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Fri Dec 01 10:36:20 GMT-03:00 2017","Fri Dec 01 10:54:10 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Sat Dec 02 11:04:23 GMT-03:00 2017","Sat Dec 02 11:10:21 GMT-03:00 2017","Indefinido","","Cedro","False"
"Sat Dec 02 11:10:55 GMT-03:00 2017","Sat Dec 02 11:20:47 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Mon Dec 04 11:47:16 GMT-03:00 2017","Mon Dec 04 12:07:17 GMT-03:00 2017","Indefinido","","Arbusto","True"
"Mon Dec 11 20:16:15 GMT-03:00 2017","Mon Dec 11 20:25:09 GMT-03:00 2017","Indefinido","","Arbusto","False"
"Tue Dec 12 21:45:54 GMT-03:00 2017","Tue Dec 12 22:06:32 GMT-03:00 2017","Indefinido","","Cedro","False"
"Sun Dec 17 19:12:17 GMT-03:00 2017","Sun Dec 17 19:14:12 GMT-03:00 2017","Indefinido","","Cedro","False"
"Sat Dec 23 15:35:47 GMT-03:00 2017","Sat Dec 23 15:57:25 GMT-03:00 2017","Indefinido","","Cedro","False"
"Sun Jan 07 16:43:40 GMT-03:00 2018","Sun Jan 07 16:59:08 GMT-03:00 2018","Indefinido","","Cedro","False"
"Sun Jan 07 17:00:52 GMT-03:00 2018","Sun Jan 07 17:17:35 GMT-03:00 2018","Indefinido","","Cedro","False"
"Sun Jan 07 18:00:53 GMT-03:00 2018","Sun Jan 07 18:05:52 GMT-03:00 2018","Indefinido","","Arbusto","False"
"Sun Jan 07 18:06:05 GMT-03:00 2018","Sun Jan 07 18:22:13 GMT-03:00 2018","Indefinido","","Arbusto","False"
"Mon Jan 08 00:13:01 GMT-03:00 2018","Mon Jan 08 00:25:05 GMT-03:00 2018","Indefinido","","Arbusto","True"
"Sun Jan 28 12:45:36 GMT-03:00 2018","Sun Jan 28 13:15:18 GMT-03:00 2018","Indefinido","","Cedro","False"
"Sun Jan 28 15:28:48 GMT-03:00 2018","Sun Jan 28 15:32:11 GMT-03:00 2018","Indefinido","","Cedro","False"
"Sun Jan 28 15:36:16 GMT-03:00 2018","Sun Jan 28 15:57:16 GMT-03:00 2018","Indefinido","","Cedro","False"
"Sun Jan 28 22:45:38 GMT-03:00 2018","Sun Jan 28 23:01:57 GMT-03:00 2018","Indefinido","","Cedro","False"
"Tue Feb 06 06:46:18 GMT-03:00 2018","Tue Feb 06 07:03:31 GMT-03:00 2018","Indefinido","","Cedro","False"
"Mon May 07 00:04:31 GMT-03:00 2018","Mon May 07 00:30:54 GMT-03:00 2018","Indefinido","","Cedro","False"
