,Aplicativo,Tempo de uso,Número de acessos,hora,minuto,segundo
0,Twitter,618:50:15,12664.0,618,50,15
1,Instagram,549:45:15,15041.0,549,45,15
2,Brawl Stars,474:29:44,1670.0,474,29,44
3,Forest,464:14:06,6095.0,464,14,6
4,ZenUI Launcher,313:26:53,68386.0,313,26,53
5,WhatsApp,246:46:52,16901.0,246,46,52
6,Spotify,196:12:04,10423.0,196,12,4
7,TickTick,162:17:57,10075.0,162,17,57
8,YouTube,145:14:50,1343.0,145,14,50
9,Facebook,75:16:43,1826.0,75,16,43
10,Firefox,53:39:25,1984.0,53,39,25
11,Maps,42:48:26,1541.0,42,48,26
12,Solitaire,36:46:03,187.0,36,46,3
13,Relógio,36:03:20,2925.0,36,3,20
14,Google,32:43:20,3647.0,32,43,20
15,Cronómetro de Intervalos,31:23:26,533.0,31,23,26
16,Chrome,27:39:35,1453.0,27,39,35
17,Rappi Entregador,25:16:59,1926.0,25,16,59
18,Pocket,21:26:46,421.0,21,26,46
19,Outlook,20:06:43,1267.0,20,6,43
20,Google Play Store,17:38:09,1137.0,17,38,9
21,Google Play Livros,16:23:25,280.0,16,23,25
22,iFood,15:32:44,327.0,15,32,44
23,Kindle,15:15:52,202.0,15,15,52
24,Pokémon GO,13:56:06,196.0,13,56,6
25,Itaú,13:38:43,328.0,13,38,43
26,FreeCell,12:14:46,59.0,12,14,46
27,Daylio,11:07:54,886.0,11,7,54
28,Pinterest,10:56:21,413.0,10,56,21
29,Floating Timer,10:41:42,925.0,10,41,42
30,Brasfoot,9:07:29,78.0,9,7,29
31,CAIXA Tem,8:48:29,255.0,8,48,29
32,Galeria,7:05:26,437.0,7,5,26
33,Among Us,6:54:53,18.0,6,54,53
34,365Scores,6:21:15,393.0,6,21,15
35,LinkedIn,6:04:00,246.0,6,4,0
36,Discord,5:37:10,308.0,5,37,10
37,TikTok,5:16:41,42.0,5,16,41
38,iFood para Entregadores,5:10:47,716.0,5,10,47
39,Câmera,4:50:17,415.0,4,50,17
40,Empire Warriors TD,4:21:15,19.0,4,21,15
41,Threads,4:19:19,331.0,4,19,19
42,ASUS Calling Screen,4:16:57,978.0,4,16,57
43,SofaScore,4:14:19,416.0,4,14,19
44,Snapchat,4:06:29,92.0,4,6,29
45,Configurações,4:06:25,783.0,4,6,25
46,ezPDF Reader,3:59:10,126.0,3,59,10
47,2048 World,3:50:50,47.0,3,50,50
48,Element,3:48:38,195.0,3,48,38
49,Tradutor,3:44:54,335.0,3,44,54
50,Joplin,3:44:47,60.0,3,44,47
51,Telegram,3:29:53,317.0,3,29,53
52,Water Drink Reminder,2:31:00,518.0,2,31,0
53,Merge Block,2:26:12,40.0,2,26,12
54,Dictators:No Peace,2:12:32,9.0,2,12,32
55,99,1:54:36,80.0,1,54,36
56,App Usage,1:49:25,299.0,1,49,25
57,Mensagens,1:46:16,166.0,1,46,16
58,Fotor,1:40:44,36.0,1,40,44
59,Soccer Stars,1:40:10,7.0,1,40,10
60,Noise,1:40:09,128.0,1,40,9
61,Gartic,1:35:09,9.0,1,35,9
62,Contatos,1:30:55,474.0,1,30,55
63,Kuji Cam,1:29:15,49.0,1,29,15
64,Hexonia,1:27:18,6.0,1,27,18
65,Skoob,1:26:13,38.0,1,26,13
66,Google Notícias,1:25:46,60.0,1,25,46
67,Itaucard,1:12:38,32.0,1,12,38
68,Clash Royale,1:11:17,12.0,1,11,17
69,2048 Bricks,1:08:38,17.0,1,8,38
70,IGTV,1:06:05,25.0,1,6,5
71,Fruit Ninja,1:05:49,9.0,1,5,49
72,Facebook Gaming,1:04:51,5.0,1,4,51
73,Tudo Gostoso,1:03:47,26.0,1,3,47
74,Block Puzzle New,1:03:47,14.0,1,3,47
75,MEI Fácil,1:02:50,25.0,1,2,50
76,Drive,1:01:05,104.0,1,1,5
77,Floating Timer,0:56:33,110.0,0,56,33
78,StopotS,0:55:07,3.0,0,55,7
79,Moovit,0:53:59,107.0,0,53,59
80,Meu Vivo,0:53:32,38.0,0,53,32
81,Duolingo,0:51:50,14.0,0,51,50
82,Diaro,0:50:30,44.0,0,50,30
83,Solitaire: Decked Out,0:49:28,6.0,0,49,28
84,Perguntados,0:48:29,3.0,0,48,29
85,StarMaker,0:46:18,9.0,0,46,18
86,Authenticator,0:42:12,55.0,0,42,12
87,Rappi,0:40:23,38.0,0,40,23
88,Agenda,0:39:44,91.0,0,39,44
